pitcher,player_name,p_throws,pitch_type,pitches,stuff_plus,whiff_pct,barrel_pct,xwoba_against,avg_velo,avg_ivb,avg_hb
641745,"Keller, Brad",R,SI,113,115.9,17.7,0.0,0.048,96.7,10.5,-13.2
690997,"McLean, Nolan",R,CU,68,114.9,41.2,0.0,0.044,80.3,-13.6,18.9
660896,"Alcala, Jorge",R,SI,90,110.9,20.0,1.1,0.103,96.9,11.8,-15.0
607074,"Rodón, Carlos",L,SI,181,110.9,23.2,1.1,0.098,91.9,6.5,14.8
676684,"Vest, Will",R,CH,51,110.9,35.3,0.0,0.109,90.2,4.3,-15.4
669062,"Miller, Erik",L,SI,75,110.8,12.0,0.0,0.118,97.2,8.7,17.6
669432,"Rogers, Trevor",L,FC,121,110.8,28.1,1.7,0.052,81.3,3.4,-5.2
687377,"Ribalta, Orlando",R,SI,56,110.7,10.7,0.0,0.111,95.6,11.7,-15.0
642547,"Peralta, Freddy",R,SL,164,110.6,41.5,0.0,0.05,83.8,5.9,5.0
694973,"Skenes, Paul",R,CH,205,110.3,42.0,0.0,0.059,88.8,5.9,-16.6
668984,"Legumina, Casey",R,FF,273,110.2,22.3,0.4,0.086,94.3,13.6,-14.6
676282,"Cantillo, Joey",L,CH,323,110.1,40.2,0.0,0.06,78.5,12.6,10.3
621242,"Díaz, Edwin",R,FF,360,109.9,28.3,0.8,0.057,97.2,12.9,-13.0
670955,"Uceta, Edwin",R,FF,300,109.7,32.0,1.3,0.072,93.9,13.0,-12.3
664076,"Cleavinger, Garrett",L,ST,61,109.7,42.6,0.0,0.066,81.1,-1.4,-17.3
519242,"Sale, Chris",L,SI,65,109.6,10.8,0.0,0.039,94.3,1.7,18.4
669467,"Pallante, Andre",R,SI,241,109.6,11.6,0.4,0.111,94.9,14.4,-9.9
801139,"Tolle, Payton",L,FF,135,109.5,23.7,0.7,0.099,96.7,16.7,6.7
554430,"Wheeler, Zack",R,CU,108,109.4,46.3,0.0,0.033,81.2,-10.4,12.6
669373,"Skubal, Tarik",L,CH,678,109.2,40.7,0.1,0.076,87.9,6.3,14.9
605135,"Bassitt, Chris",R,ST,116,109.1,39.7,0.0,0.054,72.5,-0.8,19.1
681982,"Anderson, Grant",R,FF,262,109.1,31.7,0.8,0.048,93.5,12.3,-12.9
664991,"Wolfram, Grant",L,FF,53,109.1,18.9,0.0,0.107,95.5,14.2,4.5
547973,"Chapman, Aroldis",L,SL,105,108.9,36.2,0.0,0.056,86.7,4.7,-10.5
678606,"Ferrer, Jose A.",L,CH,154,108.9,41.6,0.0,0.096,87.8,1.0,18.1
666142,"Ragans, Cole",L,CH,140,108.8,40.7,0.0,0.072,84.4,11.6,16.4
677161,"Kelly, Zack",R,SI,68,108.7,10.3,0.0,0.13,96.1,11.6,-15.9
664747,"Díaz, Alexis",R,FF,120,108.7,15.0,0.8,0.066,93.3,15.4,-11.0
656271,"Burke, Brock",L,SI,58,108.7,8.6,0.0,0.056,93.5,10.7,14.9
663465,"Allard, Kolby",L,SI,76,108.7,10.5,0.0,0.094,90.4,12.6,13.5
669020,"Rolison, Ryan",L,FF,192,108.6,12.0,2.1,0.129,92.9,12.0,1.0
676684,"Vest, Will",R,SI,138,108.5,9.4,0.7,0.079,96.0,11.2,-14.0
605483,"Snell, Blake",L,SL,61,108.4,44.3,0.0,0.043,88.1,8.5,-3.0
689690,"Jacob, Alek",R,FF,136,108.3,17.6,2.2,0.082,85.3,12.8,-13.3
608718,"Suter, Brent",L,FF,372,108.2,14.0,0.8,0.102,87.2,14.2,-2.6
690990,"Horton, Cade",R,CH,121,108.1,44.6,0.0,0.083,87.9,8.3,-12.9
686613,"Brown, Hunter",R,SI,451,108.1,12.2,0.0,0.087,95.7,13.2,-13.8
669062,"Miller, Erik",L,SL,84,108.1,46.4,0.0,0.039,86.4,-0.9,-4.9
641745,"Keller, Brad",R,ST,89,108.1,38.2,0.0,0.049,86.0,2.2,14.0
688297,"Roycroft, Chris",R,FF,83,108.1,22.9,0.0,0.082,95.4,8.8,-6.8
695243,"Miller, Mason",R,FF,347,108.0,34.0,2.3,0.067,101.3,16.9,-8.5
547973,"Chapman, Aroldis",L,SI,226,108.0,32.7,0.0,0.067,99.2,17.1,10.9
676534,"Faucher, Calvin",R,SI,83,108.0,15.7,0.0,0.061,95.8,5.7,-16.8
676979,"Crochet, Garrett",L,CH,70,108.0,44.3,0.0,0.054,87.6,6.2,11.8
622554,"Domínguez, Seranthony",R,ST,135,108.0,34.8,0.7,0.052,86.5,4.7,9.7
666661,"Morillo, Juan",R,SI,101,107.9,15.8,0.0,0.065,98.8,13.0,-13.7
680742,"Bowlan, Jonathan",R,SI,100,107.7,13.0,0.0,0.06,96.3,12.5,-14.1
695243,"Miller, Mason",R,SL,337,107.6,38.6,0.0,0.043,87.9,-1.7,8.6
680694,"Bradish, Kyle",R,SI,144,107.6,11.8,0.7,0.098,94.8,13.6,-11.0
682120,"Herrin, Tim",L,SI,76,107.6,9.2,0.0,0.079,93.5,3.6,15.9
687396,"Headrick, Brent",L,SL,75,107.5,49.3,0.0,0.077,82.4,3.6,-3.5
682274,"Hiraldo, Yaramil",R,FS,76,107.5,59.2,0.0,0.04,86.9,9.4,-9.2
676979,"Crochet, Garrett",L,SI,403,107.4,12.9,0.2,0.094,96.0,8.1,16.0
605483,"Snell, Blake",L,FF,287,107.3,14.6,0.3,0.097,95.2,17.8,4.4
663738,"Lynch IV, Daniel",L,SI,141,107.3,11.3,1.4,0.11,93.6,8.2,16.9
682254,"Montgomery, Mason",L,FF,405,107.3,22.0,0.0,0.074,98.7,18.4,6.0
605483,"Snell, Blake",L,CH,171,107.3,38.6,0.6,0.064,85.4,9.9,13.2
690997,"McLean, Nolan",R,FC,60,107.1,21.7,0.0,0.052,90.9,5.2,1.4
665152,"Kremer, Dean",R,FC,336,107.1,18.8,1.2,0.104,86.8,5.8,4.9
691587,"Pérez, Eury",R,ST,103,107.1,30.1,1.0,0.043,83.0,8.7,9.7
669373,"Skubal, Tarik",L,FF,665,107.0,23.3,0.8,0.086,97.5,17.2,3.4
642100,"Speier, Gabe",L,SI,200,106.9,5.5,0.5,0.074,94.3,7.5,17.5
506433,"Darvish, Yu",R,CU,110,106.9,25.5,0.9,0.079,71.0,-13.7,11.6
693645,"Schlittler, Cam",R,SI,98,106.9,13.3,0.0,0.09,97.1,11.4,-14.1
663855,"Hicks, Jordan",R,ST,169,106.9,32.0,1.8,0.087,83.0,2.6,10.4
656546,"Hoffman, Jeff",R,SL,222,106.8,34.2,1.4,0.058,87.0,-0.1,4.4
543135,"Eovaldi, Nathan",R,CU,252,106.8,30.2,0.8,0.05,75.9,-8.5,9.0
643377,"Jax, Griffin",R,CH,162,106.8,41.4,0.0,0.079,92.3,2.6,-14.0
666661,"Morillo, Juan",R,CH,59,106.8,27.1,0.0,0.071,92.1,8.3,-15.4
